Regulatory gene;Ortholog of the regulatory gene;Target gene;Ortholog of the target gene;Mode of regulation;Reference (PubMed)
fliA (AL347_05490);fliA;PA2406 (AL347_32995);PA2406 (fpvK);+;Homology from 25780925
fliA (AL347_05490);fliA;PA2405 (AL347_33000);PA2405 (fpvJ);+;Homology from 25780925
fliA (AL347_05490);fliA;PA2404 (AL347_33005);PA2404 (fpvH);+;Homology from 25780925
fliA (AL347_05490);fliA;pvdF (AL347_33035);pvdF;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2348 (AL347_33280);PA2348;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2310 (AL347_33475);PA2310;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2309 (AL347_33480);PA2309;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2308 (AL347_33485);PA2308;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2307 (AL347_33490);PA2307;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2217 (AL347_01465);PA2217;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2216 (AL347_01470);PA2216;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2215 (AL347_01475);PA2215 (lyxD);+;Homology from 25780925
fliA (AL347_05490);fliA;PA2165 (AL347_01745);PA2165;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2164 (AL347_01750);PA2164;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2163 (AL347_01755);PA2163;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2162 (AL347_01760);PA2162;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2161 (AL347_01765);PA2161;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2160 (AL347_01770);PA2160;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2158 (AL347_01785);PA2158;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2153 (AL347_01810);PA2153 (glgB);+;Homology from 25780925
fliA (AL347_05490);fliA;PA2152 (AL347_01815);PA2152;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2151 (AL347_01820);PA2151;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2131 (AL347_01935);PA2131 (cupA4);+;Homology from 25780925
fliA (AL347_05490);fliA;PA2077 (AL347_02205);PA2077;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2036 (AL347_02425);PA2036;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2034 (AL347_02435);PA2034;+;Homology from 25780925
fliA (AL347_05490);fliA;PA2033 (AL347_02440);PA2033;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1913 (AL347_03045);PA1913;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1835 (AL347_03465);PA1835;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1778 (AL347_03790);PA1778 (cobA);+;Homology from 25780925
fliA (AL347_05490);fliA;PA1740 (AL347_03995);PA1740;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1738 (AL347_04005);PA1738;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1679 (AL347_04310);PA1679;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1646 (AL347_04485);PA1646;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1608 (AL347_04685);PA1608;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1607 (AL347_04690);PA1607;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1569 (AL347_04890);PA1569;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1568 (AL347_04895);PA1568;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1567 (AL347_04900);PA1567;+;Homology from 25780925
fliA (AL347_05490);fliA;aer (AL347_04935);aer;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1545 (AL347_05025);PA1545;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1538 (AL347_05060);PA1538;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1537 (AL347_05065);PA1537;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1510 (AL347_05210);PA1510 (tplE, tle4);+;Homology from 25780925
fliA (AL347_05490);fliA;PA1509 (AL347_05215);PA1509 (tplEi, tli4);+;Homology from 25780925
fliA (AL347_05490);fliA;PA1498 (AL347_05270);PA1498 (pykF, pyk-I);+;Homology from 25780925
fliA (AL347_05490);fliA;PA1474 (AL347_05395);PA1474;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1473 (AL347_05400);PA1473;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1467 (AL347_05430);PA1467;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1465 (AL347_05440);PA1465;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1462 (AL347_05455);PA1462;+;Homology from 25780925
fliA (AL347_05490);fliA;motD (AL347_05460);motD;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1460 (AL347_05465);PA1460 (motC);+;Homology from 25780925
fliA (AL347_05490);fliA;PA1459 (AL347_05470);PA1459;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1458 (AL347_05475);PA1458;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1456 (AL347_05485);PA1456 (cheY);+;Homology from 25780925
fliA (AL347_05490);fliA;fliA (AL347_05490);fliA;?;Homology from 25780925
fliA (AL347_05490);fliA;PA1423 (AL347_05700);PA1423 (bdlA);+;Homology from 25780925
fliA (AL347_05490);fliA;gbuA (AL347_05710);gbuA;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1420 (AL347_05715);PA1420;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1419 (AL347_05720);PA1419;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1367 (AL347_06265);PA1367;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1354 (AL347_06325);PA1354;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1353 (AL347_06330);PA1353;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1346 (AL347_06365);PA1346;+;Homology from 25780925
fliA (AL347_05490);fliA;cyoC (AL347_06510);cyoC;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1311 (AL347_06555);PA1311 (phnX);+;Homology from 25780925
fliA (AL347_05490);fliA;PA1254 (AL347_06850);PA1254 (lhpC);+;Homology from 25780925
fliA (AL347_05490);fliA;PA1253 (AL347_06855);PA1253 (lhpG);+;Homology from 25780925
fliA (AL347_05490);fliA;PA1251 (AL347_06865);PA1251;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1244 (AL347_06910);PA1244 (qslA);+;Homology from 25780925
fliA (AL347_05490);fliA;PA1232 (AL347_06970);PA1232;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1221 (AL347_07025);PA1221;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1220 (AL347_07030);PA1220;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1219 (AL347_07035);PA1219;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1218 (AL347_07040);PA1218;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1217 (AL347_07045);PA1217;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1216 (AL347_07050);PA1216;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1214 (AL347_07060);PA1214;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1213 (AL347_07065);PA1213;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1212 (AL347_07070);PA1212;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1211 (AL347_07075);PA1211;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1181 (AL347_07230);PA1181;+;Homology from 25780925
fliA (AL347_05490);fliA;rhlC (AL347_07505);rhlC;+;Homology from 25780925
fliA (AL347_05490);fliA;fliJ (AL347_07650);fliJ;+;Homology from 25780925
fliA (AL347_05490);fliA;fliI (AL347_07655);fliI;+;Homology from 25780925
fliA (AL347_05490);fliA;fliH (AL347_07660);fliH;+;Homology from 25780925
fliA (AL347_05490);fliA;fliG (AL347_07665);fliG;+;Homology from 25780925
fliA (AL347_05490);fliA;fliF (AL347_07670);fliF;+;Homology from 25780925
fliA (AL347_05490);fliA;fliE (AL347_07675);fliE;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1096 (AL347_07695);PA1096;+;Homology from 25780925
fliA (AL347_05490);fliA;fliS (AL347_07700);fliS;+;Homology from 25780925
fliA (AL347_05490);fliA;fliD (AL347_07705);fliD;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1093 (AL347_07710);PA1093;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1090 (AL347_07725);PA1090;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1089 (AL347_07730);PA1089;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1088 (AL347_07735);PA1088;+;Homology from 25780925
fliA (AL347_05490);fliA;flgL (AL347_07740);flgL;+;Homology from 25780925
fliA (AL347_05490);fliA;PA1028 (AL347_08045);PA1028 (amaA, amaB);+;Homology from 25780925
fliA (AL347_05490);fliA;PA1023 (AL347_08075);PA1023;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0982 (AL347_08290);PA0982;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0980 (AL347_08305);PA0980;+;Homology from 25780925
fliA (AL347_05490);fliA;tolB (AL347_08345);tolB;+;Homology from 25780925
fliA (AL347_05490);fliA;tolA (AL347_08350);tolA;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0967 (AL347_08370);PA0967 (ruvB);+;Homology from 25780925
fliA (AL347_05490);fliA;dctM (AL347_09065);dctM;+;Homology from 25780925
fliA (AL347_05490);fliA;dctQ (AL347_09070);dctQ;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0884 (AL347_09075);PA0884;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0883 (AL347_09080);PA0883;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0882 (AL347_09085);PA0882;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0818 (AL347_09420);PA0818;+;Homology from 25780925
fliA (AL347_05490);fliA;mucB (AL347_09695);mucB;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0728 (AL347_09900);PA0728;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0727 (AL347_09905);PA0727;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0721 (AL347_09935);PA0721;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0720 (AL347_09940);PA0720;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0701 (AL347_10045);PA0701;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0699 (AL347_10055);PA0699;+;Homology from 25780925
fliA (AL347_05490);fliA;phdA (AL347_10095);phdA;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0690 (AL347_10100);PA0690 (pdtA);+;Homology from 25780925
fliA (AL347_05490);fliA;PA0684 (AL347_10130);PA0684 (hxcZ);+;Homology from 25780925
fliA (AL347_05490);fliA;PA0669 (dnaE2);PA0669;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0665 (AL347_21205);PA0665;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0452 (AL347_20085);PA0452;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0451 (AL347_20080);PA0451;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0444 (AL347_20050);PA0444;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0259 (AL347_19065);PA0259 (tla3, tli3);+;Homology from 25780925
fliA (AL347_05490);fliA;cttP (AL347_18685);cttP;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0179 (AL347_18680);PA0179;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0178 (AL347_18675);PA0178;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0177 (AL347_18670);PA0177;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0175 (AL347_18660);PA0175 (cheR2);+;Homology from 25780925
fliA (AL347_05490);fliA;PA0174 (AL347_18655);PA0174;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0173 (AL347_18650);PA0173;+;Homology from 25780925
fliA (AL347_05490);fliA;PA0154 (AL347_18550);PA0154 (pcaG);+;Homology from 25780925
fliA (AL347_05490);fliA;PA0153 (AL347_18545);PA0153 (pcaH);+;Homology from 25780925
fliA (AL347_05490);fliA;algU (AL347_09705);algU;?;Homology from 25780925, 29729420
fliA (AL347_05490);fliA;PA1442 (AL347_05555);PA1442;+;22587778
fliC (AL347_07715);fliC;exoT (AL347_17990);exoT;-;16988269
fliC (AL347_07715);fliC;exoY (AL347_01600);exoY;-;16988269
fliC (AL347_07715);fliC;exoS (AL347_23535);exoS;-;16988269
foxI (AL347_32680);foxI;foxA (AL347_32690);foxA;+;25809487
foxR (AL347_32685);foxR;foxI (AL347_32680);foxI;-;25809487
fpvI (AL347_33080);fpvI;PA5106 (AL347_15175);PA5106;+;Homology from 25780925
fpvI (AL347_33080);fpvI;PA4287 (AL347_10270);PA4287;+;Homology from 25780925
fpvI (AL347_33080);fpvI;hasR (AL347_25685);hasR;+;Homology from 25780925
fpvI (AL347_33080);fpvI;PA2406 (AL347_32995);PA2406 (fpvK);+;Homology from 25780925
fpvI (AL347_33080);fpvI;PA2405 (AL347_33000);PA2405 (fpvJ);+;Homology from 25780925
fpvI (AL347_33080);fpvI;PA2404 (AL347_33005);PA2404 (fpvH);+;Homology from 25780925
fpvI (AL347_33080);fpvI;pvdA (AL347_33085);pvdA;+;Homology from 25780925
fpvI (AL347_33080);fpvI;PA1254 (AL347_06850);PA1254 (lhpC);+;Homology from 25780925
fpvI (AL347_33080);fpvI;PA1253 (AL347_06855);PA1253 (lhpG);+;Homology from 25780925
fpvI (AL347_33080);fpvI;PA4902 (AL347_14120);PA4902;+;Homology from 25780925, 29729420
fpvI (AL347_33080);fpvI;fpvI (AL347_33080);fpvI;?;Homology from 25780925, 29729420
fpvR (AL347_33075);fpvR;fpvI (AL347_33080);fpvI;-;18974177
fpvR (AL347_33075);fpvR;pvdS (AL347_32895);pvdS;-;18974177
fruR (AL347_24990);fruR;fruR (AL347_24990);fruR;-;27242034*
fruR (AL347_24990);fruR;fruK (AL347_25000);fruK;-;27242034*
fruR (AL347_24990);fruR;fruA (AL347_25005);fruA;-;27242034*
fruR (AL347_24990);fruR;fruI (AL347_24995);fruI;-;27242034*
fur (AL347_13415);fur;pvdQ (AL347_33090);pvdQ;+;18440972
fur (AL347_13415);fur;fpvR (AL347_33075);fpvR;+;18440972
fur (AL347_13415);fur;foxR (AL347_32685);foxR;-;18440972
fur (AL347_13415);fur;fptB (AL347_21570);fptB;+;18440972
fur (AL347_13415);fur;fptA (AL347_21565);fptA;+;18440972
fur (AL347_13415);fur;pchR (AL347_21535);pchR;-;18440972
fur (AL347_13415);fur;rplL (AL347_21315);rplL;+;18440972
fur (AL347_13415);fur;rplJ (AL347_21310);rplJ;+;18440972
fur (AL347_13415);fur;rplA (AL347_21305);rplA;+;18440972
fur (AL347_13415);fur;icmP (AL347_10700);icmP;+;18440972
fur (AL347_13415);fur;fagA (AL347_11220);fagA;-;18440972
fur (AL347_13415);fur;tolQ (AL347_08360);tolQ;-;18974177
fur (AL347_13415);fur;tolR (AL347_08355);tolR;-;18974177
fur (AL347_13415);fur;tolA (AL347_08350);tolA;-;18974177
fur (AL347_13415);fur;tolB (AL347_08345);tolB;-;18974177
fur (AL347_13415);fur;oprL (AL347_08340);oprL;-;18974177
fur (AL347_13415);fur;toxA (AL347_07415);toxA;-;18974177
fur (AL347_13415);fur;gbuR (AL347_05705);gbuR;-;18974177
fur (AL347_13415);fur;hasR (AL347_25685);hasR;+;18974177
fur (AL347_13415);fur;pchF (AL347_21545);pchF;-;18974177
fur (AL347_13415);fur;pchE (AL347_21540);pchE;-;18974177
fur (AL347_13415);fur;pchD (AL347_21530);pchD;-;18974177
fur (AL347_13415);fur;pchC (AL347_21525);pchC;-;18974177
fur (AL347_13415);fur;pchB (AL347_21520);pchB;-;18974177
fur (AL347_13415);fur;pchA (AL347_21515);pchA;-;18974177
fur (AL347_13415);fur;phuT (AL347_13110);phuT;+;18974177
fur (AL347_13415);fur;pfeR (AL347_29975);pfeR;-;18974177
fur (AL347_13415);fur;pirR (AL347_08575);pirR;-;19130263
fur (AL347_13415);fur;pirA (AL347_08565);pirA;-;19130263
fur (AL347_13415);fur;hxuA (AL347_06600);hxuA;-;19130263
fur (AL347_13415);fur;pfuA (AL347_06495);pfuA;-;19130263
fur (AL347_13415);fur;PA2033 (AL347_02440);PA2033;-;19130263
fur (AL347_13415);fur;PA2034 (AL347_02435);PA2034;-;19130263
fur (AL347_13415);fur;optO (AL347_33350);optO;-;19130263
fur (AL347_13415);fur;foxA (AL347_32690);foxA;-;19130263
fur (AL347_13415);fur;pfeA (AL347_29965);pfeA;-;19130263
fur (AL347_13415);fur;PA3268 (AL347_00160);PA3268;-;19130263
fur (AL347_13415);fur;fpvB (AL347_21845);fpvB;-;19130263
fur (AL347_13415);fur;PA4467 (AL347_11200);PA4467;-;19130263
fur (AL347_13415);fur;sodM (AL347_11205);sodM;-;19130263
fur (AL347_13415);fur;PA4469 (AL347_11210);PA4469;-;19130263
fur (AL347_13415);fur;fumC1 (AL347_16940);fumC1;-;19130263
fur (AL347_13415);fur;PA4514 (AL347_11440);PA4514;-;19130263
fur (AL347_13415);fur;chtA (AL347_12915);chtA;-;19130263
fur (AL347_13415);fur;phuU (AL347_13105);phuU;d;19130263
fur (AL347_13415);fur;phuS (AL347_13115);phuS;d;19130263
fur (AL347_13415);fur;optI (AL347_14095);optI;-;19130263
fur (AL347_13415);fur;PA5216 (AL347_15815);PA5216;-;19130263
fur (AL347_13415);fur;PA5217 (AL347_15820);PA5217;-;19130263
fur (AL347_13415);fur;hemO (AL347_10190);hemO;+;21943078, 27242034*
fur (AL347_13415);fur;PA4516 (AL347_11450);PA4516;+;21943078
fur (AL347_13415);fur;PA4895 (AL347_14085);PA4895;+;21943078
fur (AL347_13415);fur;bfd (AL347_25160);bfd;d;24413814
fur (AL347_13415);fur;PA0149 (AL347_18525);PA0149;?;29729420
fur (AL347_13415);fur;fiuI (AL347_20195);fiuI;?;29729420
fur (AL347_13415);fur;femI (AL347_03050);femI;?;29729420
fur (AL347_13415);fur;PA2050 (AL347_02355);PA2050;?;29729420
fur (AL347_13415);fur;hasI (AL347_25675);hasI;?;29729420, 27242034*
fur (AL347_13415);fur;hasAp (AL347_25690);hasAp;+;18440972, 23967252
fur (AL347_13415);fur;foxI (AL347_32680);foxI;-;18440972, 29729420
fur (AL347_13415);fur;pvdS (AL347_32895);pvdS;-;18974177, 29729420
fur (AL347_13415);fur;phuR (AL347_13120);phuR;d;19130263, 18974177
fur (AL347_13415);fur;fecI (AL347_23230);fecI;-;19130263,29729420, 29729420
fur (AL347_13415);fur;PA4896 (AL347_14090);PA4896;+;21943078, 29729420
fur (AL347_13415);fur;piuC (AL347_11445);piuC;-;24413814, 23422914
fur (AL347_13415);fur;fpvI (AL347_33080);fpvI;-;28971540, 29729420
fur (AL347_13415);fur;PA1300 (AL347_06610);PA1300 (hxuI);?;29729420, 29729420
fur (AL347_13415);fur;PA4705 (AL347_13095);PA4705 (phuW);+;22587778
fur (AL347_13415);fur;toxR (AL347_10010);toxR;-;22587778
fur (AL347_13415);fur;PA1322 (AL347_06495);PA1322;?;27242034*
fur (AL347_13415);fur;aprA (AL347_06875);aprA;?;27242034*
fur (AL347_13415);fur;PA4513 (AL347_11435);PA4513;?;27242034*
fur (AL347_13415);fur;PA0473 (AL347_20200);PA0473;?;27242034*
fur (AL347_13415);fur;PA3842 (AL347_23525);PA3842 (spcS, orf1);-;22587778
fur (AL347_13415);fur;ybgC (AL347_08365);ybgC;?;22587778
fur (AL347_13415);fur;PSPA7_RS25870 (AL347_13100);PSPA7_RS25870;-;22587778
fur (AL347_13415);fur;sodM (AL347_11205);sodA;-;22587778
fur (AL347_13415);fur;PA4570 (AL347_12335);PA4570;+;22587778
fur (AL347_13415);fur;PA3409 (AL347_25680);PA3409 (hasS);+;22587778
fur (AL347_13415);fur;fecR (AL347_23225);fecR;-;22587778
fur (AL347_13415);fur;PA1301 (AL347_06605);PA1301 (hxuR);-;22587778
fur (AL347_13415);fur;motD (AL347_05460);motD;-;22587778
fur (AL347_13415);fur;PA0071 (AL347_18125);PA0071 (tagR1);-;22587778
fur (AL347_13415);fur;PA0072 (AL347_18130);PA0072 (tagS1);-;22587778
fur (AL347_13415);fur;PA0929 (AL347_08575);PA0929;-;22587778
fur (AL347_13415);fur;PA0930 (AL347_08570);PA0930;-;22587778
fur (AL347_13415);fur;hasAp_P;hasAp_P;+;22587778
fur (AL347_13415);fur;hasAp_N;hasAp_N;-;22587778
gacA (AL347_30505);gacA;lasR (AL347_05615);lasR;+;18974177
gacA (AL347_30505);gacA;hcnA (AL347_01585);hcnA;+;18974177
gacA (AL347_30505);gacA;hcnB (AL347_01580);hcnB;+;18974177
gacA (AL347_30505);gacA;hcnC (AL347_01575);hcnC;+;18974177
gacA (AL347_30505);gacA;rsmA (AL347_08970);rsmA;+;24187093
gacA (AL347_30505);gacA;vreI (AL347_10175);vreI;?;29729420
gacA (AL347_30505);gacA;PA1300 (AL347_06610);PA1300 (hxuI);?;29729420
gacA (AL347_30505);gacA;PA1363 (AL347_06280);PA1363;?;29729420
gacA (AL347_30505);gacA;pvdS (AL347_32895);pvdS;?;29729420
gacA (AL347_30505);gacA;foxI (AL347_32680);foxI;?;29729420
gacA (AL347_30505);gacA;PA4896 (AL347_14090);PA4896;?;29729420
gacA (AL347_30505);gacA;PA0028 (AL347_17890);PA0028;?;31270321
gacA (AL347_30505);gacA;PA0102 (AL347_18280);PA0102;?;31270321
gacA (AL347_30505);gacA;PA0138 (AL347_18465);PA0138;?;31270321
gacA (AL347_30505);gacA;triB (AL347_18570);triB;?;31270321
gacA (AL347_30505);gacA;triC (AL347_18575);triC;?;31270321
gacA (AL347_30505);gacA;PA0165 (AL347_18610);PA0165;?;31270321
gacA (AL347_30505);gacA;siaA (AL347_18645);siaA;?;31270321
gacA (AL347_30505);gacA;PA0277 (AL347_19170);PA0277;?;31270321
gacA (AL347_30505);gacA;aguR (AL347_19255);aguR;?;31270321
gacA (AL347_30505);gacA;PA0344 (AL347_19525);PA0344;?;31270321
gacA (AL347_30505);gacA;PA0422 (AL347_19930);PA0422;?;31270321
gacA (AL347_30505);gacA;PA0428 (AL347_19960);PA0428;?;31270321
gacA (AL347_30505);gacA;PA0540 (AL347_20545);PA0540;?;31270321
gacA (AL347_30505);gacA;PA0557 (AL347_20630);PA0557;?;31270321
gacA (AL347_30505);gacA;phdA (AL347_10095);phdA;?;31270321
gacA (AL347_30505);gacA;PA0703 (AL347_10030);PA0703;?;31270321
gacA (AL347_30505);gacA;PA0802 (AL347_09500);PA0802;?;31270321
gacA (AL347_30505);gacA;PA0851 (AL347_09255);PA0851;?;31270321
gacA (AL347_30505);gacA;PA0874 (AL347_09130);PA0874;?;31270321
gacA (AL347_30505);gacA;PA1012 (AL347_08145);PA1012;?;31270321
gacA (AL347_30505);gacA;pauA (AL347_08110);pauA;?;31270321
gacA (AL347_30505);gacA;shaB (AL347_07905);shaB;?;31270321
gacA (AL347_30505);gacA;PA1069 (AL347_07835);PA1069;?;31270321
gacA (AL347_30505);gacA;roeA (AL347_07640);roeA;?;31270321
gacA (AL347_30505);gacA;PA1197 (AL347_07145);PA1197;?;31270321
gacA (AL347_30505);gacA;PA1200 (AL347_07130);PA1200;?;31270321
gacA (AL347_30505);gacA;PA1211 (AL347_07075);PA1211;?;31270321
gacA (AL347_30505);gacA;aprE (AL347_06895);aprE;?;31270321
gacA (AL347_30505);gacA;PA1287 (AL347_06675);PA1287;?;31270321
gacA (AL347_30505);gacA;PA1295 (AL347_06635);PA1295;?;31270321
gacA (AL347_30505);gacA;cyoA (AL347_06520);cyoA;?;31270321
gacA (AL347_30505);gacA;PA1473 (AL347_05400);PA1473;?;31270321
gacA (AL347_30505);gacA;ccmG (AL347_05360);ccmG;?;31270321
gacA (AL347_30505);gacA;exsB (AL347_04140);exsB;?;31270321
gacA (AL347_30505);gacA;liuE (AL347_02555);liuE;?;31270321
gacA (AL347_30505);gacA;lpdV (AL347_00815);lpdV;?;31270321
gacA (AL347_30505);gacA;PA2301 (AL347_33520);PA2301;?;31270321
gacA (AL347_30505);gacA;PA2471 (AL347_32665);PA2471;?;31270321
gacA (AL347_30505);gacA;PA2502 (AL347_32465);PA2502;?;31270321
gacA (AL347_30505);gacA;PA2504 (AL347_32455);PA2504;?;31270321
gacA (AL347_30505);gacA;cdpR (AL347_30490);cdpR;?;31270321
gacA (AL347_30505);gacA;greB (AL347_28590);greB;?;31270321
gacA (AL347_30505);gacA;PA2864 (AL347_28565);PA2864;?;31270321
gacA (AL347_30505);gacA;PA2874 (AL347_28515);PA2874;?;31270321
gacA (AL347_30505);gacA;cobH (AL347_28360);cobH;?;31270321
gacA (AL347_30505);gacA;pelC (AL347_27535);pelC;?;31270321
gacA (AL347_30505);gacA;pelB (AL347_27530);pelB;?;31270321
gacA (AL347_30505);gacA;cprR (AL347_27475);cprR;?;31270321
gacA (AL347_30505);gacA;xcpT (AL347_27335);xcpT;?;31270321
gacA (AL347_30505);gacA;PA3110 (AL347_27290);PA3110;?;31270321
gacA (AL347_30505);gacA;PA3214 (AL347_00450);PA3214;?;31270321
gacA (AL347_30505);gacA;PA3309 (AL347_26210);PA3309;?;31270321
gacA (AL347_30505);gacA;PA3325 (AL347_26130);PA3325;?;31270321
gacA (AL347_30505);gacA;PA3328 (AL347_26115);PA3328;?;31270321
gacA (AL347_30505);gacA;PA3342 (AL347_26040);PA3342;?;31270321
gacA (AL347_30505);gacA;amiR (AL347_25935);amiR;?;31270321
gacA (AL347_30505);gacA;amiC (AL347_25930);amiC;?;31270321
gacA (AL347_30505);gacA;PA3375 (AL347_25855);PA3375;?;31270321
gacA (AL347_30505);gacA;PA3457 (AL347_25430);PA3457;?;31270321
gacA (AL347_30505);gacA;rhlR (AL347_25325);rhlR;?;31270321
gacA (AL347_30505);gacA;grxD (AL347_25145);grxD;?;31270321
gacA (AL347_30505);gacA;PA3572 (AL347_24940);PA3572;?;31270321
gacA (AL347_30505);gacA;PA3592 (AL347_24825);PA3592;?;31270321
gacA (AL347_30505);gacA;pyrG (AL347_24590);pyrG;?;31270321
gacA (AL347_30505);gacA;glnD (AL347_24485);glnD;?;31270321
gacA (AL347_30505);gacA;PA3669 (AL347_24430);PA3669;?;31270321
gacA (AL347_30505);gacA;PA3749 (AL347_24025);PA3749;?;31270321
gacA (AL347_30505);gacA;nagE (AL347_23965);nagE;?;31270321
gacA (AL347_30505);gacA;PA3892 (AL347_23270);PA3892;?;31270321
gacA (AL347_30505);gacA;eddB (AL347_23180);eddB;?;31270321
gacA (AL347_30505);gacA;PA3959 (AL347_22915);PA3959;?;31270321
gacA (AL347_30505);gacA;PA3973 (AL347_22840);PA3973;?;31270321
gacA (AL347_30505);gacA;ubiX (AL347_22615);ubiX;?;31270321
gacA (AL347_30505);gacA;PA4112 (AL347_22135);PA4112;?;31270321
gacA (AL347_30505);gacA;PA4171 (AL347_21830);PA4171;?;31270321
gacA (AL347_30505);gacA;ppgL (AL347_21660);ppgL;?;31270321
gacA (AL347_30505);gacA;pchG (AL347_21550);pchG;?;31270321
gacA (AL347_30505);gacA;pchF (AL347_21545);pchF;?;31270321
gacA (AL347_30505);gacA;recD (AL347_10250);recD;?;31270321
gacA (AL347_30505);gacA;PA4289 (AL347_10280);PA4289;?;31270321
gacA (AL347_30505);gacA;PA4291 (AL347_10290);PA4291;?;31270321
gacA (AL347_30505);gacA;PA4312 (AL347_10400);PA4312;?;31270321
gacA (AL347_30505);gacA;PA4340 (AL347_10545);PA4340;?;31270321
gacA (AL347_30505);gacA;PA4475 (AL347_11240);PA4475;?;31270321
